source,destination,total
8BvzBV77mtnNR9jqix8adrRsF8HtQxkAVARfu3A6b4tB,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,612546.412750376
EgEoH5oYB5r3M4rv1GWG7o4SE2LQ3E4sCVAMZRysw3dn,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,612546.412750376
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,AgedEBdxegun31DnEG5dQvpnUEmXdq7hrVbYeMbEftdK,605718.673729226
AgedEBdxegun31DnEG5dQvpnUEmXdq7hrVbYeMbEftdK,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,605718.673710226
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3SPedichFWk8MqEJHFfNa9cenFoyeoq8XszkfssoetFG,604707.1064725519
3SPedichFWk8MqEJHFfNa9cenFoyeoq8XszkfssoetFG,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,604707.106453552
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,4Ks8j6mojQag3z9pYwqCo86PREbZuCCgvVeh4jYMp511,598735.8461336279
4Ks8j6mojQag3z9pYwqCo86PREbZuCCgvVeh4jYMp511,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,598735.846114628
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EVS6yFMD8c2bbtba6HsFgocqKCD9xa3RtKboFkd5YeFd,590632.350380478
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EXB7rN4ML4iH727ERNpwJ9DzdAKLX5MVQwu9qfBDAtM8,586825.551801028
EXB7rN4ML4iH727ERNpwJ9DzdAKLX5MVQwu9qfBDAtM8,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,586825.551782028
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2uy4is89kSQmVp9fqWaLA4eu15fBAPMVqvX4CHKEqeWq,584991.082052368
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2wJghSkDnzQhttHTqy4f2FwbnX3f66aNMNDGbFnvf2qs,584991.082052368
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,63QghZcBpMrvbxJFqvUdWAi8hChUWSKDvYZqkYJGsh9N,584991.082052368
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,E8vqKBZBhVZt7tfap8JegodrR2L86mgbaPZf9qzkYRdv,584991.082052368
